"Turn","InvokeMs","PageLabelMs","Label"
"1","10.9","27.7","Page 2 of 120"
"2","1.5","152.5","Page 3 of 120"
"3","1.3","156.9","Page 4 of 120"
"4","1.3","247.2","Page 5 of 120"
"5","1.1","190.8","Page 6 of 120"
"6","1.2","298.4","Page 7 of 120"
"7","1.2","237.4","Page 8 of 120"
"8","0.9","205","Page 9 of 120"
"9","0.9","139.6","Page 10 of 120"
"10","2.2","219","Page 11 of 120"
"11","1.9","180.3","Page 12 of 120"
"12","3.3","237","Page 13 of 120"
"13","1.9","265.9","Page 14 of 120"
"14","2.4","339.9","Page 15 of 120"
"15","2.2","138.4","Page 16 of 120"
"16","1.1","165.9","Page 17 of 120"
"17","1.4","210.6","Page 18 of 120"
"18","0.9","137.8","Page 19 of 120"
"19","3.5","299.9","Page 20 of 120"
"20","1.2","204.7","Page 21 of 120"
"21","1.1","181","Page 22 of 120"
"22","1.1","260.8","Page 23 of 120"
"23","5.5","203.7","Page 24 of 120"
"24","1.5","195.8","Page 25 of 120"
"25","1.1","1879.2","Page 26 of 120"
"26","1.8","205.2","Page 27 of 120"
"27","3.3","215.3","Page 28 of 120"
"28","1","217.3","Page 29 of 120"
"29","1.7","180.3","Page 30 of 120"
"30","1","195.8","Page 31 of 120"
"31","1.3","271.9","Page 32 of 120"
"32","1.9","156.6","Page 33 of 120"
"33","2.1","324.9","Page 34 of 120"
"34","3.4","211.6","Page 35 of 120"
"35","1.9","185.7","Page 36 of 120"
"36","1.1","33.4","Page 37 of 120"
"37","1.7","173.1","Page 38 of 120"
"38","1.1","215.1","Page 39 of 120"
"39","1.2","138.2","Page 40 of 120"
"40","2.8","216.4","Page 41 of 120"
"41","1.5","163","Page 42 of 120"
"42","2.2","257.9","Page 43 of 120"
"43","1.7","271.5","Page 44 of 120"
"44","0.9","286.2","Page 45 of 120"
"45","2.5","185.6","Page 46 of 120"
"46","1.4","200.8","Page 47 of 120"
"47","3.5","160.8","Page 48 of 120"
"48","1.2","237.3","Page 49 of 120"
"49","3.6","263","Page 50 of 120"
"50","10.3","223.7","Page 51 of 120"
"51","1.3","185.3","Page 52 of 120"
"52","1","214.6","Page 53 of 120"
"53","1.6","179.8","Page 54 of 120"
"54","1.5","256.4","Page 55 of 120"
"55","1.8","186.2","Page 56 of 120"
"56","2.1","216.7","Page 57 of 120"
"57","1.9","123.6","Page 58 of 120"
"58","1.1","194.4","Page 59 of 120"
"59","4.9","117","Page 60 of 120"
"60","1.5","202.2","Page 61 of 120"
