"Turn","InvokeMs","PageLabelMs","Label"
"1","18.6","25.5","Page 62 of 120"
"2","6.3","9.4","Page 63 of 120"
"3","4.5","68.4","Page 64 of 120"
"4","4.9","6.9","Page 65 of 120"
"5","1.2","167.8","Page 66 of 120"
"6","4.6","6.9","Page 67 of 120"
"7","2.9","128.7","Page 68 of 120"
"8","5.2","7.3","Page 69 of 120"
"9","2.1","153.8","Page 70 of 120"
"10","4.8","7.2","Page 71 of 120"
"11","1.2","128.6","Page 72 of 120"
"12","4.5","7.3","Page 73 of 120"
"13","4.3","6.7","Page 74 of 120"
"14","1.8","147.5","Page 75 of 120"
"15","7","9","Page 76 of 120"
"16","2.9","193.5","Page 77 of 120"
"17","4.5","5.4","Page 78 of 120"
"18","1.6","192.8","Page 79 of 120"
"19","4.8","6.3","Page 80 of 120"
"20","2.2","136.4","Page 81 of 120"
"21","4.2","6","Page 82 of 120"
"22","1.1","125.1","Page 83 of 120"
"23","5.4","7.6","Page 84 of 120"
"24","3.1","152.2","Page 85 of 120"
"25","4.9","6.6","Page 86 of 120"
"26","2","136.2","Page 87 of 120"
"27","4.2","5.7","Page 88 of 120"
"28","1.5","129.2","Page 89 of 120"
"29","4","6.2","Page 90 of 120"
"30","2.8","136.8","Page 91 of 120"
"31","3.3","5","Page 92 of 120"
"32","0.9","160.9","Page 93 of 120"
"33","3.6","4.7","Page 94 of 120"
"34","1.9","107.1","Page 95 of 120"
"35","3.9","5.3","Page 96 of 120"
"36","1.9","115.8","Page 97 of 120"
"37","3.7","4.7","Page 98 of 120"
"38","1.2","127.5","Page 99 of 120"
"39","3.8","5.6","Page 100 of 120"
"40","0.9","1402.5","Page 101 of 120"
"41","1","156.4","Page 102 of 120"
"42","4.8","5.5","Page 103 of 120"
"43","1.9","202.1","Page 104 of 120"
"44","4.2","5.3","Page 105 of 120"
"45","3","4.3","Page 106 of 120"
"46","1.2","155.2","Page 107 of 120"
"47","2.8","3.9","Page 108 of 120"
"48","2.3","171","Page 109 of 120"
"49","4.5","5.7","Page 110 of 120"
"50","3.4","153.8","Page 111 of 120"
"51","2.9","4","Page 112 of 120"
"52","1.8","176.9","Page 113 of 120"
"53","3","3.9","Page 114 of 120"
"54","1.2","188.9","Page 115 of 120"
"55","3","4","Page 116 of 120"
"56","2.3","133.8","Page 117 of 120"
"57","4","5.2","Page 118 of 120"
"58","1","137.3","Page 119 of 120"
"59","6.7","9.2","Page 120 of 120"
