"Turn","InvokeMs","PageLabelMs","Label"
"1","9.3","31.6","Page 2 of 900"
"2","1.8","279","Page 3 of 900"
"3","1.2","231.3","Page 4 of 900"
"4","0.9","16.9","Page 5 of 900"
"5","1.4","111.5","Page 6 of 900"
"6","1","248.7","Page 7 of 900"
"7","1","175.5","Page 8 of 900"
"8","1.3","215.7","Page 9 of 900"
"9","1.2","16.5","Page 10 of 900"
"10","1","91.7","Page 11 of 900"
"11","1","290.4","Page 12 of 900"
"12","1","22.3","Page 13 of 900"
"13","1","63.7","Page 14 of 900"
"14","1.1","45.5","Page 15 of 900"
"15","1.5","125","Page 16 of 900"
"16","1","27.7","Page 17 of 900"
"17","0.9","29.6","Page 18 of 900"
"18","1","115","Page 19 of 900"
"19","1.2","264","Page 20 of 900"
"20","1.3","63.1","Page 21 of 900"
"21","2.7","231.5","Page 22 of 900"
"22","1.6","37.9","Page 23 of 900"
"23","6.4","40.3","Page 24 of 900"
"24","1","45.5","Page 25 of 900"
"25","1.1","93.6","Page 26 of 900"
"26","1.3","48.7","Page 27 of 900"
"27","1","43.2","Page 28 of 900"
"28","1","15","Page 29 of 900"
"29","0.9","15.5","Page 30 of 900"
"30","2.9","93.8","Page 31 of 900"
"31","0.8","216.1","Page 32 of 900"
"32","1","59.1","Page 33 of 900"
"33","1.1","79","Page 34 of 900"
"34","0.9","364.9","Page 35 of 900"
"35","1.3","75.3","Page 36 of 900"
"36","0.9","29","Page 37 of 900"
"37","1.1","40.1","Page 38 of 900"
"38","1.4","101.2","Page 39 of 900"
"39","1.7","172.4","Page 40 of 900"
"40","1.2","30.6","Page 41 of 900"
"41","1.2","30","Page 42 of 900"
"42","1.3","29.9","Page 43 of 900"
"43","3.7","76.4","Page 44 of 900"
"44","1.2","294.5","Page 45 of 900"
"45","2.1","90.1","Page 46 of 900"
"46","1.4","120.6","Page 47 of 900"
"47","0.9","168.8","Page 48 of 900"
"48","0.9","29","Page 49 of 900"
"49","1.1","109.6","Page 50 of 900"
"50","1.1","12","Page 51 of 900"
"51","0.9","26.9","Page 52 of 900"
