"Turn","InvokeMs","PageLabelMs","Label"
"1","21.4","28.9","Page 222 of 900"
"2","6","7.8","Page 223 of 900"
"3","4.5","209.9","Page 224 of 900"
"4","1.2","23.6","Page 225 of 900"
"5","3.6","5.2","Page 226 of 900"
"6","1.5","12","Page 227 of 900"
"7","1.3","39.8","Page 228 of 900"
"8","1.9","29.8","Page 229 of 900"
"9","1.1","27.4","Page 230 of 900"
"10","4.6","6.1","Page 231 of 900"
"11","1.2","14.9","Page 232 of 900"
"12","1.7","22.5","Page 233 of 900"
"13","4.4","5.8","Page 234 of 900"
"14","1","32.5","Page 235 of 900"
"15","6.3","8.1","Page 236 of 900"
"16","1.2","11.2","Page 237 of 900"
"17","1.9","16.2","Page 238 of 900"
"18","1.5","42.3","Page 239 of 900"
"19","4.5","5.8","Page 240 of 900"
"20","3.4","5.5","Page 241 of 900"
"21","4.6","6.4","Page 242 of 900"
"22","3.8","30.3","Page 243 of 900"
"23","1.3","36.6","Page 244 of 900"
"24","1.1","36.8","Page 245 of 900"
"25","1.2","51.1","Page 246 of 900"
"26","1.1","29.3","Page 247 of 900"
"27","1","28.7","Page 248 of 900"
"28","4.1","4.9","Page 249 of 900"
"29","0.8","20.1","Page 250 of 900"
"30","1","14.2","Page 251 of 900"
"31","1.4","33.3","Page 252 of 900"
"32","0.9","46.5","Page 253 of 900"
"33","1.2","27.6","Page 254 of 900"
"34","1.9","15","Page 255 of 900"
"35","4.6","5.7","Page 256 of 900"
"36","1","18.3","Page 257 of 900"
"37","1.1","14.7","Page 258 of 900"
"38","4","5.1","Page 259 of 900"
"39","0.8","30.7","Page 260 of 900"
"40","3.3","122.1","Page 261 of 900"
"41","1","54.4","Page 262 of 900"
"42","0.9","17.7","Page 263 of 900"
"43","1.2","57.6","Page 264 of 900"
"44","1.7","13.8","Page 265 of 900"
"45","1","20.5","Page 266 of 900"
"46","0.8","29.9","Page 267 of 900"
"47","4.9","10.1","Page 268 of 900"
"48","0.9","16.9","Page 269 of 900"
"49","5.7","7.8","Page 270 of 900"
"50","4.4","6.1","Page 271 of 900"
"51","4.3","5.9","Page 272 of 900"
"52","1.4","31.1","Page 273 of 900"
"53","5","6.7","Page 274 of 900"
"54","1.2","31.4","Page 275 of 900"
"55","1.5","15","Page 276 of 900"
"56","1.4","41.7","Page 277 of 900"
"57","10.1","14.1","Page 278 of 900"
"58","5.2","7.1","Page 279 of 900"
"59","1.3","58.8","Page 280 of 900"
"60","1.1","28.3","Page 281 of 900"
"61","1.6","27.6","Page 282 of 900"
"62","1","45.1","Page 283 of 900"
"63","6.1","9","Page 284 of 900"
"64","1.6","115.7","Page 285 of 900"
"65","4.1","5.7","Page 286 of 900"
"66","1.2","15.9","Page 287 of 900"
"67","1.4","26.5","Page 288 of 900"
"68","4.5","6.5","Page 289 of 900"
"69","0.9","20.4","Page 290 of 900"
"70","3.3","4.9","Page 291 of 900"
"71","3.6","5.4","Page 292 of 900"
"72","1.3","23.7","Page 293 of 900"
"73","1.9","15.4","Page 294 of 900"
"74","2","29.8","Page 295 of 900"
"75","4.3","5.7","Page 296 of 900"
"76","3.9","6.2","Page 297 of 900"
"77","5.2","6.9","Page 298 of 900"
"78","1.7","58.1","Page 299 of 900"
"79","2.8","28.4","Page 300 of 900"
"80","3.9","5.8","Page 301 of 900"
