sec,status,covers
0.3,"ERR",0
1.9,"Preparing books: 0 of 52 tasks",0
3.5,"Preparing books: 4 of 53 tasks",1
5.2,"Preparing books: 9 of 54 tasks",2
6.7,"ERR",3
8.2,"Preparing books: 13 of 56 tasks",3
10,"Preparing books: 15 of 56 tasks",4
11.6,"Preparing books: 18 of 57 tasks",5
13.2,"Preparing books: 21 of 58 tasks",6
14.7,"ERR",6
16.3,"Preparing books: 24 of 59 tasks",7
17.8,"Preparing books: 27 of 60 tasks",8
19.4,"Preparing books: 29 of 60 tasks",8
20.7,"ERR",9
22.3,"Preparing books: 32 of 61 tasks",9
23.8,"Preparing books: 33 of 61 tasks",10
25.3,"Preparing books: 35 of 61 tasks",10
26.8,"ERR",11
28.5,"Preparing books: 38 of 61 tasks",12
30,"Preparing books: 40 of 61 tasks",12
31.5,"Preparing books: 40 of 60 tasks",12
33.1,"Preparing books: 40 of 60 tasks",12
34.5,"Preparing books: 40 of 60 tasks",12
36,"Preparing books: 40 of 59 tasks",12
37.7,"Preparing books: 40 of 59 tasks",12
39.3,"Preparing books: 41 of 59 tasks",12
40.8,"Preparing books: 42 of 60 tasks",12
42.2,"Preparing books: 42 of 60 tasks",12
43.7,"Preparing books: 42 of 59 tasks",12
45.5,"Preparing books: 45 of 61 tasks",12
47,"ERR",12
48.6,"Preparing books: 47 of 61 tasks",12
50.2,"Preparing books: 49 of 62 tasks",12
51.8,"Preparing books: 51 of 62 tasks",12
53.6,"Preparing books: 53 of 63 tasks",12
55.1,"ERR",12
56.6,"Preparing books: 55 of 63 tasks",12
58.2,"Preparing books: 57 of 64 tasks",12
59.7,"Preparing books: 59 of 64 tasks",12
61.2,"ERR",12
62.9,"Preparing books: 63 of 65 tasks",12
64.5,"Preparing books: 63 of 65 tasks",12
66,"Preparing books: 65 of 66 tasks",12
67.7,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
69.2,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
70.8,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
72.5,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
74.2,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
75.9,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
77.5,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
79,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
80.6,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
82.2,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
83.8,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
85.4,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
87,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
88.7,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
90.2,"Added 13 · Updated 1 · Needs attention 3 · Missing 0",12
