sec,status,covers
0.9,"Added 14 · Updated 0 · Needs attention 3 · Missing 0",0
2.7,"Preparing covers and search index…",0
4.4,"Preparing covers and search index…",0
6.1,"Preparing covers and search index…",0
7.9,"Preparing covers and search index…",1
9.7,"Preparing covers and search index…",1
11.5,"Preparing covers and search index…",1
13.2,"Preparing covers and search index…",2
15.2,"Preparing covers and search index…",2
17,"Preparing covers and search index…",2
18.8,"Preparing covers and search index…",3
20.6,"Preparing covers and search index…",3
22.4,"Preparing covers and search index…",3
24.1,"Preparing covers and search index…",3
25.9,"Preparing covers and search index…",4
27.6,"Preparing covers and search index…",4
29.3,"Preparing covers and search index…",4
31,"Preparing covers and search index…",5
32.7,"Preparing covers and search index…",5
34.4,"Preparing covers and search index…",5
36.3,"Preparing covers and search index…",5
40.5,"Preparing covers and search index…",6
46,"Preparing covers and search index…",6
49.7,"Preparing covers and search index…",6
53.8,"Preparing covers and search index…",7
59.8,"Preparing covers and search index…",8
63.1,"Preparing covers and search index…",9
66.5,"Preparing covers and search index…",9
69.4,"Preparing covers and search index…",9
72.4,"Preparing covers and search index…",10
77.3,"Preparing covers and search index…",10
82.7,"Preparing covers and search index…",11
85.5,"Preparing covers and search index…",12
88.2,"Preparing covers and search index…",12
90.1,"14 books in your library",12
91.7,"14 books in your library",12
93.4,"14 books in your library",12
95,"14 books in your library",12
96.6,"14 books in your library",12
98.4,"14 books in your library",12
100,"14 books in your library",12
101.6,"14 books in your library",12
103.3,"14 books in your library",12
105.3,"14 books in your library",12
107.6,"14 books in your library",12
109.6,"14 books in your library",12
111.2,"14 books in your library",12
113.8,"Preparing covers and search index…",12
117,"Preparing covers and search index…",12
119.1,"Preparing covers and search index…",12
122.6,"Preparing covers and search index…",12
125.9,"Preparing covers and search index…",12
129,"Preparing covers and search index…",12
133.6,"Preparing covers and search index…",12
137.6,"Preparing covers and search index…",12
141.8,"Preparing covers and search index…",12
146,"Preparing covers and search index…",12
149.7,"Preparing covers and search index…",12
